#     10
  -9.96504951       3.23324776      0.320910931      0.303288460       4.44011641      -1.59763908      -4.63056946       2.00215626       3.65156770      -1.21069908     
   2.91143417       4.60546589      -2.72417068      -2.40287495      0.689628124      -2.83136940       3.60146999     -0.387898445       2.30064201      -2.13561583     
  -3.67210007      -2.83141994     -0.344778061      -2.15481853      -3.64839268       4.03462648      -2.78009462       3.08091879       1.31255269       2.82640815     
  -1.73970270     -0.732570171      -4.04500103      -4.33942699      -3.35071945       1.23591852       2.42243052       2.61495233      -1.91881084      -4.84941483     
   1.41250610       7.86066055E-02  -4.04077530       1.69810295      -1.01218462       2.42113590      -3.18737221      -1.92313766     -0.900220871      -1.50159073     
   1.93616819       1.97939277       4.55148697       4.98521090      -1.79019022       4.60360146      -3.11514950       1.50427699      -1.43410397       1.35730457     
   1.08827305     -0.123452187      -4.08155441       2.10785270       2.95979071     -0.394602299       4.45663881      -4.26597214      0.822470188       4.26385832     
   2.49461842      -4.20553589      -3.72379494      -1.79788589      -3.85761929      0.395088196      -1.83866024      -2.63862419      -3.15219116      -4.65830898     
  -2.17936420      -3.51646900       3.04507685      -3.20904636      -1.88461351      0.325882435       2.53503203       4.76745176      -4.41031456       2.22958136     
  0.255964279       3.18342400     -0.154882431      -3.33951855      -1.79595423      -3.07161045       3.54645014      -4.74184418     -0.333481789      -2.01999569     

